30.04.2017 2124:10:28-722:
alpha,1,2,3,4,5,6,7
156,232,232,232,232,232,232,232
157,232,232,232,232,232,232,232
158,232,232,232,232,232,232,232
159,232,232,232,232,232,232,232
160,232,232,232,232,232,232,232
161,232,232,232,232,232,232,232
162,232,232,232,232,232,232,232
163,232,232,232,232,232,232,232
164,232,232,232,232,232,232,232
165,232,232,232,232,232,232,232
166,232,232,232,232,232,232,232
167,232,232,232,232,232,232,232
168,232,232,232,232,232,232,232
169,232,232,232,232,232,232,232
170,232,232,232,232,232,232,232
171,232,232,232,232,232,232,232
172,232,232,232,232,232,232,232
173,232,232,232,232,232,232,232
174,232,232,232,232,232,232,232
175,232,232,232,232,232,232,232
176,232,232,232,232,232,232,232
177,232,232,232,232,232,232,232
178,232,232,232,232,232,232,232
179,232,232,232,232,232,232,232
180,232,232,232,232,232,232,232
181,232,232,232,232,232,232,232
182,232,232,232,232,232,232,232
183,232,232,232,232,232,232,232
184,232,232,232,232,232,232,232
185,232,232,232,232,232,232,232
186,232,232,232,232,232,232,232
187,232,232,232,232,232,232,232
188,232,232,232,232,232,232,232
189,232,232,232,232,232,232,232
190,232,232,232,232,232,232,232
191,232,232,232,232,232,232,232
192,232,232,232,232,232,232,232
193,232,232,232,232,232,232,232
194,232,232,232,232,232,232,232
195,232,232,232,232,232,232,232
196,232,232,232,232,232,232,232
197,232,232,232,232,232,232,232
198,232,232,232,232,232,232,232
199,232,232,232,232,232,232,232
200,232,232,232,232,232,232,232
201,232,232,232,232,232,232,232
202,232,232,232,232,232,232,232
203,232,232,232,232,232,232,232
204,232,232,232,232,232,232,232
205,232,232,232,232,232,232,232
206,232,232,232,232,232,232,232
207,305,305,305,305,305,305,305
208,305,305,305,305,305,305,305
209,305,305,305,305,305,305,305
210,305,305,305,305,305,305,305
211,305,305,305,305,305,305,305
212,305,305,305,305,305,305,305
213,305,305,305,305,305,305,305
214,305,305,305,305,305,305,305
215,305,305,305,305,305,305,305
216,305,305,305,305,305,305,305
217,305,305,305,305,305,305,305
218,305,305,305,305,305,305,305
219,305,305,305,305,305,305,305
220,305,305,305,305,305,305,305
221,305,305,305,305,305,305,305
222,305,305,305,305,305,305,305
223,305,305,305,305,305,305,305
224,305,305,305,305,305,305,305
225,305,305,305,305,305,305,305
226,305,305,305,305,305,305,305
227,305,305,305,305,305,305,305
228,305,305,305,305,305,305,305
229,305,305,305,305,305,305,305
230,305,305,305,305,305,305,305
231,305,305,305,305,305,305,305
232,305,305,305,305,305,305,305
233,305,305,305,305,305,305,305
234,305,305,305,305,305,305,305
